Timeseries,Power Consumption (W)
2023-07-10 00:00:00+02:00,0
2023-07-10 00:15:00+02:00,0
2023-07-10 00:30:00+02:00,0
2023-07-10 00:45:00+02:00,0
2023-07-10 01:00:00+02:00,0
2023-07-10 01:15:00+02:00,0
2023-07-10 01:30:00+02:00,0
2023-07-10 01:45:00+02:00,0
2023-07-10 02:00:00+02:00,0
2023-07-10 02:15:00+02:00,0
2023-07-10 02:30:00+02:00,0
2023-07-10 02:45:00+02:00,0
2023-07-10 03:00:00+02:00,0
2023-07-10 03:15:00+02:00,0
2023-07-10 03:30:00+02:00,0
2023-07-10 03:45:00+02:00,0
2023-07-10 04:00:00+02:00,0
2023-07-10 04:15:00+02:00,0
2023-07-10 04:30:00+02:00,0
2023-07-10 04:45:00+02:00,0
2023-07-10 05:00:00+02:00,0.000133333
2023-07-10 05:15:00+02:00,0.001666667
2023-07-10 05:30:00+02:00,0.003133333
2023-07-10 05:45:00+02:00,533.3451333
2023-07-10 06:00:00+02:00,6533.358133
2023-07-10 06:15:00+02:00,7000.035867
2023-07-10 06:30:00+02:00,7700.038667
2023-07-10 06:45:00+02:00,7966.702867
2023-07-10 07:00:00+02:00,12533.35793
2023-07-10 07:15:00+02:00,7466.685533
2023-07-10 07:30:00+02:00,4000.020933
2023-07-10 07:45:00+02:00,14000.01967
2023-07-10 08:00:00+02:00,14266.68673
2023-07-10 08:15:00+02:00,14966.68747
2023-07-10 08:30:00+02:00,19213.35367
2023-07-10 08:45:00+02:00,18566.68793
2023-07-10 09:00:00+02:00,19533.35433
2023-07-10 09:15:00+02:00,15053.35673
2023-07-10 09:30:00+02:00,10000.02513
2023-07-10 09:45:00+02:00,4933.3602
2023-07-10 10:00:00+02:00,4788.363733
2023-07-10 10:15:00+02:00,5995.030733
2023-07-10 10:30:00+02:00,130.0307333
2023-07-10 10:45:00+02:00,691.6946667
2023-07-10 11:00:00+02:00,2485.0258
2023-07-10 11:15:00+02:00,2578.359867
2023-07-10 11:30:00+02:00,1638.364333
2023-07-10 11:45:00+02:00,2926.700933
2023-07-10 12:00:00+02:00,3516.705667
2023-07-10 12:15:00+02:00,5216.7062
2023-07-10 12:30:00+02:00,6170.037867
2023-07-10 12:45:00+02:00,6890.032067
2023-07-10 13:00:00+02:00,5455.0308
2023-07-10 13:15:00+02:00,3846.699267
2023-07-10 13:30:00+02:00,1790.035
2023-07-10 13:45:00+02:00,3183.3668
2023-07-10 14:00:00+02:00,6038.363867
2023-07-10 14:15:00+02:00,3955.032733
2023-07-10 14:30:00+02:00,5043.363867
2023-07-10 14:45:00+02:00,8515.031267
2023-07-10 15:00:00+02:00,9541.7092
2023-07-10 15:15:00+02:00,11075.04573
2023-07-10 15:30:00+02:00,7490.049467
2023-07-10 15:45:00+02:00,5501.716333
2023-07-10 16:00:00+02:00,2421.7064
2023-07-10 16:15:00+02:00,2615.035867
2023-07-10 16:30:00+02:00,1265.036267
2023-07-10 16:45:00+02:00,2945.0372
2023-07-10 17:00:00+02:00,835.0428
2023-07-10 17:15:00+02:00,4880.041733
2023-07-10 17:30:00+02:00,11520.03927
2023-07-10 17:45:00+02:00,12873.3766
2023-07-10 18:00:00+02:00,16733.37733
2023-07-10 18:15:00+02:00,10241.71273
2023-07-10 18:30:00+02:00,12108.37913
2023-07-10 18:45:00+02:00,13815.04773
2023-07-10 19:00:00+02:00,18090.04193
2023-07-10 19:15:00+02:00,16295.042
2023-07-10 19:30:00+02:00,11330.0396
2023-07-10 19:45:00+02:00,8006.707933
2023-07-10 20:00:00+02:00,14538.37107
2023-07-10 20:15:00+02:00,14965.03707
2023-07-10 20:30:00+02:00,12911.70227
2023-07-10 20:45:00+02:00,9541.7032
2023-07-10 21:00:00+02:00,8305.0344
2023-07-10 21:15:00+02:00,5308.362467
2023-07-10 21:30:00+02:00,2073.362333
2023-07-10 21:45:00+02:00,520.0234
2023-07-10 22:00:00+02:00,680.0150667
2023-07-10 22:15:00+02:00,1183.346067
2023-07-10 22:30:00+02:00,2040.011
2023-07-10 22:45:00+02:00,921.6756
2023-07-10 23:00:00+02:00,550.0066667
2023-07-10 23:15:00+02:00,600.0044667
2023-07-10 23:30:00+02:00,570.004
2023-07-10 23:45:00+02:00,255.0054667
2023-07-11 00:00:00+02:00,0
2023-07-11 00:15:00+02:00,0
2023-07-11 00:30:00+02:00,0
2023-07-11 00:45:00+02:00,0
2023-07-11 01:00:00+02:00,0.000533333
2023-07-11 01:15:00+02:00,0.001
2023-07-11 01:30:00+02:00,0.001
2023-07-11 01:45:00+02:00,0.001266667
2023-07-11 02:00:00+02:00,0.002133333
2023-07-11 02:15:00+02:00,0.003
2023-07-11 02:30:00+02:00,0.003
2023-07-11 02:45:00+02:00,0.003
2023-07-11 03:00:00+02:00,0.003
2023-07-11 03:15:00+02:00,0.003
2023-07-11 03:30:00+02:00,0.003533333
2023-07-11 03:45:00+02:00,0.004
2023-07-11 04:00:00+02:00,0.004
2023-07-11 04:15:00+02:00,0.004
2023-07-11 04:30:00+02:00,0.004
2023-07-11 04:45:00+02:00,0.0056
2023-07-11 05:00:00+02:00,0.0084
